# Truth table
# Exported on Thu Sep 05 15:08:18 BRT 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

OPCODE[6..0] | ALU_OP[3..0] SHIFTER_OP[1..0] BYTE_SIZE[1..0] SIGNED RELATIVE INTERRUPT ALU SHIFTER LOAD STORE CALL RETURN JUMP GET_PSW SET_PSW GET_LAST_PC LOAD_HIGH_IMMEDIATE
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
  0000XXX    |     0110            00              11          1       0         1      0     0     0     0    1     0     0      0       0         0               0         
  000100X    |     0110            00              11          1       0         0      0     0     0     0    1     0     0      0       0         0               0         
  000101X    |     0110            00              11          1       0         0      0     0     0     0    0     0     1      0       0         0               0         
  000110X    |     0110            00              11          1       1         0      0     0     0     0    1     0     0      0       0         0               0         
  000111X    |     0110            00              11          1       1         0      0     0     0     0    0     0     1      0       0         0               0         
  0010X0X    |     0110            00              11          1       0         0      0     1     0     0    0     0     0      0       0         0               0         
  0010X1X    |     0110            00              11          1       0         0      0     0     0     0    0     0     0      1       0         0               0         
  001100X    |     0110            01              11          1       0         0      0     1     0     0    0     0     0      0       0         0               0         
  001101X    |     0110            00              11          1       0         0      0     0     0     0    0     0     0      0       1         0               0         
  00111XX    |     0110            10              11          1       0         0      0     1     0     0    0     0     0      0       0         0               0         
  01000XX    |     0110            00              11          1       0         0      0     0     0     0    0     0     0      0       0         0               0         
  0100100    |     0110            01              00          0       0         0      0     0     1     0    0     0     0      0       0         0               0         
  0100101    |     0110            01              00          0       1         0      0     0     1     0    0     0     0      0       0         0               0         
  0100110    |     0110            11              00          1       0         0      0     0     1     0    0     0     0      0       0         0               0         
  0100111    |     0110            11              00          1       1         0      0     0     1     0    0     0     0      0       0         0               0         
  01010X0    |     0110            11              11          1       0         0      0     0     1     0    0     0     0      0       0         0               0         
  01010X1    |     0110            11              11          1       1         0      0     0     1     0    0     0     0      0       0         0               0         
  0101100    |     0110            01              01          0       0         0      0     0     1     0    0     0     0      0       0         0               0         
  0101101    |     0110            01              01          0       1         0      0     0     1     0    0     0     0      0       0         0               0         
  0101110    |     0110            11              01          1       0         0      0     0     1     0    0     0     0      0       0         0               0         
  0101111    |     0110            11              01          1       1         0      0     0     1     0    0     0     0      0       0         0               0         
  01100X0    |     0110            00              01          1       0         0      0     0     0     1    0     0     0      0       0         0               0         
  01100X1    |     0110            00              01          1       1         0      0     0     0     1    0     0     0      0       0         0               0         
  01101X0    |     0110            00              00          1       0         0      0     0     0     1    0     0     0      0       0         0               0         
  01101X1    |     0110            00              00          1       1         0      0     0     0     1    0     0     0      0       0         0               0         
  0111XX0    |     0110            00              11          1       0         0      0     0     0     1    0     0     0      0       0         0               0         
  0111XX1    |     0110            00              11          1       1         0      0     0     0     1    0     0     0      0       0         0               0         
  10000XX    |     0001            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  10001XX    |     0010            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  1001XXX    |     0011            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  101000X    |     0100            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  101001X    |     0100            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  101010X    |     0101            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  101011X    |     1100            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  10110XX    |     0110            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  10111XX    |     0111            00              11          1       0         0      1     0     0     0    0     0     0      0       0         0               0         
  11000XX    |     0110            00              11          1       0         0      0     0     0     0    0     1     0      0       0         0               0         
  11001XX    |     0110            00              11          1       0         1      0     0     0     0    0     1     0      0       0         0               0         
  1101XXX    |     0110            00              11          1       0         0      0     0     0     0    0     0     0      0       0         1               0         
  111XXXX    |     0000            00              11          1       0         0      0     0     0     0    0     0     0      0       0         0               1         
